orgao_razao,qtd_contratos,valor_total
MINISTERIO DA ECONOMIA,342,7307361.0
COMANDO DA MARINHA,41,6311962.5200000005
COMANDO DO EXERCITO,65,5423725.300000001
BASE ADMINISTRATIVA DO QUARTEL-GENERAL DO EXERCITO,13,803261.81
MINISTERIO DA JUSTICA E SEGURANCA PUBLICA,64,676764.99
TRIBUNAL SUPERIOR DO TRABALHO,52,539941.0099999999
MINISTERIO DA JUSTICA E SEGURANCA PUBLICA,50,535939.4500000001
TRIBUNAL SUPERIOR ELEITORAL,78,518040.48
JUSTICA FEDERAL DE PRIMEIRA INSTANCIA,60,441443.61999999994
MINISTERIO PUBLICO DA UNIAO,97,367200.1999999999
"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACOES",41,359880.76
MINISTERIO DA SAUDE,43,330770.41000000003
UNIVERSIDADE FEDERAL DO PARA,38,288309.31
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,203,286758.68000000005
BANCO CENTRAL DO BRASIL,5,282584.16
